,id,text,name,screen_name,description,user_id,is_quote,lang
34,1333731222346993665,"Explicamos por qué no hemos aceptado la invitación de Ayuso para la inauguración del Hospital Zendal.

Estamos fuera, con sanitarios y ciudadanos pidiendo más sanidad pública. 

No este engaño y sinsentido que es en realidad un negocio para constructoras. https://t.co/ALIhsnAgpY",PODEMOS,PODEMOS,"#UnGobiernoContigo
Una república solidaria y plurinacional.
📲 Telegram: https://t.co/abl4MX7MrL
📩 Subscripción por DM: https://t.co/fj7cuenKM2",2288138575,1,es
35,1333727530398920706,"📺 @isaserras: “El Hospital Zendal es un negocio para las grandes constructoras que nos va a costar a los ciudadanos al menos 50 millones de euros más del presupuesto inicial, cuando se debería estar reforzando el conjunto de la sanidad pública y la atención primaria”. https://t.co/W0IAX71MhO",PODEMOS,PODEMOS,"#UnGobiernoContigo
Una república solidaria y plurinacional.
📲 Telegram: https://t.co/abl4MX7MrL
📩 Subscripción por DM: https://t.co/fj7cuenKM2",2288138575,0,es
36,1333718976120152067,"Cuando Cs o PP se enfaden y den golpes porque les recordamos que gobiernan con la extrema derecha, recordadles cosas como esta.
Les han quitado las subvenciones a organizaciones LGTBI que literalmente salvan vidas. 
https://t.co/TOiinZNx20",PODEMOS,PODEMOS,"#UnGobiernoContigo
Una república solidaria y plurinacional.
📲 Telegram: https://t.co/abl4MX7MrL
📩 Subscripción por DM: https://t.co/fj7cuenKM2",2288138575,1,es
37,1333717443525677056,"El próximo viernes los trabajadores y trabajadoras del campo murciano van a la HUELGA y todos deberíamos arroparlos. 
Recogen nuestros alimentos, generan una gran riqueza y, sin embargo, están trabajando en condiciones de semiesclavitud. ¡Basta ya!
https://t.co/J5oEjUVmpy",PODEMOS,PODEMOS,"#UnGobiernoContigo
Una república solidaria y plurinacional.
📲 Telegram: https://t.co/abl4MX7MrL
📩 Subscripción por DM: https://t.co/fj7cuenKM2",2288138575,1,es
38,1333700831598825477,"El 1 de Diciembre de 1955, Rosa Parks, activista afroestadounidense, se negó a ceder su asiento a un hombre blanco en un autobús en Montgomery, Alabama (Estados Unidos).

Hay acciones que cambian la Historia, Rosa Parks presente ✊🏿.

#BlackLivesMatter #LasVidasNegrasImportan https://t.co/HaX6mhUkYn",PODEMOS,PODEMOS,"#UnGobiernoContigo
Una república solidaria y plurinacional.
📲 Telegram: https://t.co/abl4MX7MrL
📩 Subscripción por DM: https://t.co/fj7cuenKM2",2288138575,1,es
39,1333697700697608193,"Todo nuestro apoyo y solidaridad para todas las personas que viven con el VIH.

Es necesario reforzar la investigación para avanzar en el tratamiento, políticas de prevención y más información y recursos para acabar con el estigma hacia las personas con VIH.

#DiaMundialDelSida",PODEMOS,PODEMOS,"#UnGobiernoContigo
Una república solidaria y plurinacional.
📲 Telegram: https://t.co/abl4MX7MrL
📩 Subscripción por DM: https://t.co/fj7cuenKM2",2288138575,0,es
40,1333503001135345666,Lo mejor de la entrevista de Ferreras a @PabloIglesias 👇 https://t.co/6eOyjTOOlb,PODEMOS,PODEMOS,"#UnGobiernoContigo
Una república solidaria y plurinacional.
📲 Telegram: https://t.co/abl4MX7MrL
📩 Subscripción por DM: https://t.co/fj7cuenKM2",2288138575,0,es
41,1333497078614528000,"Máximos organismos internacionales rechazan que la tauromaquia sea declarada patrimonio cultural inmaterial. Lo que sucede en nuestro país es una anomalía. Por eso decimos que la tauromaquia, mientras sea legal, debería dejar de ser gestionada x @culturagob #LaTorturaNoEsCultura https://t.co/qIbwmOjNNR",PODEMOS,PODEMOS,"#UnGobiernoContigo
Una república solidaria y plurinacional.
📲 Telegram: https://t.co/abl4MX7MrL
📩 Subscripción por DM: https://t.co/fj7cuenKM2",2288138575,1,es
42,1333496970456031238,"¿Sabes por qué tanta llorería con las formas? Porque, si hablan del fondo, pierden el debate en 5 segundos. En un gobierno de coalición es normal que haya tensiones porque las dos partes tenemos ideas distintas. Si encima eso sirve para proteger a la gente, ¿dónde hay que firmar? https://t.co/0JWzeMm1az",PODEMOS,PODEMOS,"#UnGobiernoContigo
Una república solidaria y plurinacional.
📲 Telegram: https://t.co/abl4MX7MrL
📩 Subscripción por DM: https://t.co/fj7cuenKM2",2288138575,1,es
43,1333486517529047042,"Las presiones de los que peleáis por los derechos de las personas vulnerables son las que agradecemos recibir como Gobierno.

Porque no esperáis nada a cambio y solo os mueve el deseo de mejorar la vida de todos/as, muchas gracias.

Hoy estuve con @EAPNes hablando de ello https://t.co/xm8VtEiXJu",PODEMOS,PODEMOS,"#UnGobiernoContigo
Una república solidaria y plurinacional.
📲 Telegram: https://t.co/abl4MX7MrL
📩 Subscripción por DM: https://t.co/fj7cuenKM2",2288138575,1,es
